config_id,sample_idx,stepsize,beta,phase,steps,sweeps,state_rms_to_final,hidden_rms_to_final,output_rms_to_final,output_mse_to_target,target_digit,prediction,score_margin
1,1,0.05,0.05,free,160,1.0,0.19674426,0.54150033,0.1839801,18.33308,5,8,0.026962161
1,1,0.05,0.05,free,320,2.0,0.19466954,0.5358377,0.18161678,18.171316,5,8,0.020467281
1,1,0.05,0.05,free,800,5.0,0.18860045,0.51891816,0.17783955,18.371758,5,8,0.04039383
1,1,0.05,0.05,free,1600,10.0,0.17799246,0.48941067,0.1706184,18.464216,5,8,0.07827175
1,1,0.05,0.05,free,3200,20.0,0.1566842,0.43066597,0.15152195,18.885025,5,8,0.05045092
1,1,0.05,0.05,free,8000,50.0,0.093077734,0.25278023,0.11297914,19.677822,5,1,0.19130433
1,1,0.05,0.05,free,16000,100.0,0.0,0.0,0.0,19.628727,5,1,0.2543428
1,2,0.05,0.05,free,160,1.0,0.20359993,0.5556453,0.22817583,17.55899,0,9,0.3147347
1,2,0.05,0.05,free,320,2.0,0.20178056,0.55026424,0.22915298,17.637838,0,9,0.30476546
1,2,0.05,0.05,free,800,5.0,0.19493766,0.5316704,0.22089829,17.674694,0,9,0.28443837
1,2,0.05,0.05,free,1600,10.0,0.1835065,0.50067616,0.20661934,17.801893,0,9,0.15768886
1,2,0.05,0.05,free,3200,20.0,0.15925062,0.434419,0.17987302,18.149305,0,9,0.30179298
1,2,0.05,0.05,free,8000,50.0,0.09616908,0.25908974,0.1299304,19.038486,0,9,0.23323488
1,2,0.05,0.05,free,16000,100.0,0.0,0.0,0.0,21.117622,0,9,0.014133334
1,3,0.05,0.05,free,160,1.0,0.19541354,0.5370636,0.18944287,17.38888,4,1,0.32476676
1,3,0.05,0.05,free,320,2.0,0.19349705,0.53170824,0.18833213,17.351105,4,1,0.35120642
1,3,0.05,0.05,free,800,5.0,0.1877284,0.51598173,0.18165529,17.15355,4,1,0.45982397
1,3,0.05,0.05,free,1600,10.0,0.17659423,0.48490116,0.17490226,17.51217,4,1,0.5774479
1,3,0.05,0.05,free,3200,20.0,0.15598594,0.4284621,0.15325403,17.232382,4,1,0.8937464
1,3,0.05,0.05,free,8000,50.0,0.096099794,0.26354393,0.0978967,16.94184,4,1,1.2069274
1,3,0.05,0.05,free,16000,100.0,0.0,0.0,0.0,17.590324,4,1,1.2221413
1,4,0.05,0.05,free,160,1.0,0.20951492,0.57664365,0.1959689,17.450697,1,0,0.095047474
1,4,0.05,0.05,free,320,2.0,0.20669805,0.5686093,0.19580351,17.53592,1,0,0.102737784
1,4,0.05,0.05,free,800,5.0,0.19972986,0.54936886,0.18982384,17.314583,1,0,0.11800194
1,4,0.05,0.05,free,1600,10.0,0.18808395,0.51660454,0.18499383,17.340405,1,0,0.10113752
1,4,0.05,0.05,free,3200,20.0,0.16682792,0.4577182,0.16824631,17.859001,1,0,0.10211098
1,4,0.05,0.05,free,8000,50.0,0.104190454,0.28415382,0.11816558,18.119293,1,0,0.14426136
1,4,0.05,0.05,free,16000,100.0,0.0,0.0,0.0,18.767712,1,6,0.6438432
1,5,0.05,0.05,free,160,1.0,0.18727972,0.514824,0.18057626,19.996744,9,1,0.12742138
