timestamp,epoch,seconds,train_accuracy,train_loss,test_accuracy,test_loss,pred_counts,w_norm,b_norm,w_input_norm,grad_w_norm,grad_b_norm,grad_w_input_norm,symmetry_error,grad_symmetry_error,attractor_samples,reward_mean,reward_std,best_accuracy,best_path,final_path
2026-06-09T11:40:25,0,0.0,0.09005718502121379,57.863808,0.09170403587443947,57.70804,702-1088-801-802-876-852-846-1230-785-938,0.48583895,0.0,1.5336232,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.09170403587443947,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
2026-06-09T11:43:38,1,187.0707358,0.21040398450470393,84.834274,0.209304932735426,84.61076,1246-575-772-709-1221-721-568-1814-563-731,1.0230184,0.36180052,1.5336231,1.1706134,0.26551437,2.6613812,0.0,0.0,1320,-0.0034743035,0.25924525,0.209304932735426,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
2026-06-09T11:46:40,2,177.9515087,0.20516509869027855,85.12793,0.20874439461883407,85.167076,1338-583-839-733-1236-802-568-1465-534-822,1.1029952,0.40878633,1.5336232,1.3336523,0.32171237,2.5187886,0.0,0.0,1320,-0.063509695,0.22021145,0.209304932735426,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
2026-06-09T11:49:42,3,178.2578149,0.20416897251429625,86.3857,0.20168161434977577,86.543144,1324-505-828-807-1216-853-524-1606-492-765,1.1408619,0.41261,1.5336232,0.8678513,0.18481265,1.7367572,0.0,0.0,1320,-0.041081104,0.1793267,0.209304932735426,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
2026-06-09T11:52:49,4,182.3117394,0.20704667035602287,85.542465,0.2124439461883408,85.58527,1267-537-815-768-1258-755-571-1663-547-739,1.1894013,0.43129995,1.5336232,0.15469241,0.2025277,1.3874801,0.0,0.0,1320,0.0039609405,0.2025453,0.2124439461883408,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
2026-06-09T11:55:49,5,176.5254041,0.20863309352517986,83.60436,0.20997757847533632,83.64042,1349-656-658-662-1242-678-628-1827-582-638,1.2212262,0.46270123,1.5336232,0.66272295,0.5473175,3.4926555,0.0,0.0,1320,-0.041049086,0.2632314,0.2124439461883408,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
2026-06-09T11:59:14,6,200.1525414,0.2034311012728279,84.23999,0.20257847533632287,84.275894,1321-597-729-741-1296-778-613-1510-615-720,1.2845907,0.48576403,1.5336231,0.22884649,0.5354815,2.9026384,0.0,0.0,1320,-0.026044868,0.2506393,0.2124439461883408,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
2026-06-09T12:02:18,7,179.0628649,0.186810551558753,86.83976,0.18419282511210763,86.925606,1299-544-845-852-1320-838-510-1352-514-846,1.3480848,0.49326664,1.5336232,0.6392773,0.5409548,3.3516142,0.0,0.0,1320,-0.04104202,0.199211,0.2124439461883408,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
2026-06-09T12:05:28,8,186.7342633,0.20177089097952408,79.43153,0.20459641255605382,79.21323,1310-823-538-532-1405-552-835-1515-842-568,1.4415045,0.5094755,1.5336232,0.2260543,0.092985116,1.470077,0.0,0.0,1320,-0.041027147,0.2337222,0.2124439461883408,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
2026-06-09T12:08:19,9,167.0986761,0.203043718871057,85.48875,0.20526905829596412,85.27571,1321-554-739-738-1303-690-597-1697-550-731,1.5217656,0.5459062,1.5336232,1.4632493,0.39656556,2.9278862,0.0,0.0,1320,-0.048553824,0.22411688,0.2124439461883408,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
2026-06-09T12:11:07,10,164.730696,0.19524073049252905,86.1204,0.1930493273542601,86.27147,1304-544-799-767-1264-791-546-1561-545-799,1.6673553,0.58650297,1.5336232,0.91138786,0.8493974,4.060943,0.0,0.0,1320,-0.086231016,0.25318286,0.2124439461883408,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
2026-06-09T12:13:57,11,166.6499684,0.19156982106622394,87.37245,0.18576233183856503,87.70832,1297-503-797-797-1335-796-478-1637-462-818,1.8262653,0.61461675,1.5336232,0.5413003,0.32622615,3.1093187,0.0,0.0,1320,-0.07104891,0.2423744,0.2124439461883408,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
2026-06-09T12:16:45,12,163.8912183,0.18524257517063272,89.01753,0.18486547085201793,89.22721,1292-390-841-830-1275-844-418-1745-441-844,2.19088,0.6464139,1.5336232,0.31447637,0.33168653,2.1850922,0.0,0.0,1320,-0.025946964,0.2504438,0.2124439461883408,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
2026-06-09T12:19:36,13,167.3861725,0.18037262497694154,87.32771,0.18565022421524663,87.48176,1276-513-734-792-1257-813-509-1635-535-856,2.4416034,0.7364738,1.5336232,2.1855414,0.8175518,4.880527,0.0,0.0,1320,-0.033463538,0.22657326,0.2124439461883408,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
2026-06-09T12:22:25,14,164.9948403,0.18955912193322266,79.04486,0.19159192825112106,79.22234,1281-727-667-654-1358-641-656-1653-682-601,2.8638954,0.8233237,1.5336232,1.2057114,0.34234267,3.8154542,0.0,0.0,1320,-0.13075045,0.27729934,0.2124439461883408,ext/IsingLearning/experiments/MNIST/784-120-40-reinforce-minima-fixes/experiments/current/full_labelbaseline_margin_rowwinput_symmetric_5421pc_20ep\best_checkpoint.bin,
