timestamp,epoch,seconds,train_accuracy,train_loss,test_accuracy,test_loss,pred_counts,w_norm,b_norm,w_input_norm,grad_w_norm,grad_b_norm,grad_w_input_norm,symmetry_error,grad_symmetry_error,best_accuracy,best_path,final_path
2026-06-09T15:54:33,0,0.0,0.059,72.25638,0.0647982062780269,72.06376,367-1531-717-547-750-462-664-2274-744-864,0.48583895,0.0,1.5314544,0.0,0.0,0.0,0.0,0.0,0.0647982062780269,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T15:57:22,1,168.2510721,missing,missing,missing,missing,missing,7.7407317,0.38484192,9.872084,0.8261663,0.1662407,1.4639802,0.0,0.0,0.0647982062780269,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T16:00:06,2,163.8829979,missing,missing,missing,missing,missing,9.778075,0.47357464,13.417195,0.934354,0.18556166,1.4030349,0.0,0.0,0.0647982062780269,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T16:02:58,3,171.22358,missing,missing,missing,missing,missing,11.607289,0.5755175,16.00902,0.6527982,0.12335395,1.0932758,0.0,0.0,0.0647982062780269,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T16:05:46,4,168.3078251,missing,missing,missing,missing,missing,13.162738,0.6629397,17.943895,0.42871472,0.08535225,0.76664865,0.0,0.0,0.0647982062780269,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T16:08:55,5,173.5982082,0.434,19.623804,0.4022421524663677,20.268679,577-250-529-15-1123-3970-418-419-3-1616,14.216964,0.7272037,19.216196,0.36744112,0.072013035,0.7339969,0.0,0.0,0.4022421524663677,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T16:11:47,6,172.3729111,missing,missing,missing,missing,missing,15.03468,0.79270566,20.847862,0.30559653,0.05667168,0.47545606,0.0,0.0,0.4022421524663677,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T16:14:33,7,166.0747061,missing,missing,missing,missing,missing,16.09762,0.8446488,22.675547,0.30601212,0.05408281,0.45480803,0.0,0.0,0.4022421524663677,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T16:17:17,8,164.4456052,missing,missing,missing,missing,missing,17.048899,0.9256594,24.154934,0.390516,0.0741196,0.60428566,0.0,0.0,0.4022421524663677,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T16:20:08,9,170.7364966,missing,missing,missing,missing,missing,17.823051,1.0017271,25.590775,0.59818286,0.10577445,0.6727256,0.0,0.0,0.4022421524663677,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T16:23:17,10,171.5258275,0.227,24.383278,0.2429372197309417,24.373358,290-0-316-243-536-6810-23-114-0-588,18.495064,1.1025254,26.761885,0.26548326,0.044645153,0.31790808,0.0,0.0,0.4022421524663677,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T16:26:12,11,174.9548451,missing,missing,missing,missing,missing,18.906199,1.1616393,27.66182,0.1640167,0.027797189,0.22817601,0.0,0.0,0.4022421524663677,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T16:29:06,12,174.6737062,missing,missing,missing,missing,missing,19.292604,1.1803768,28.667387,0.220167,0.044193383,0.33271873,0.0,0.0,0.4022421524663677,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T16:32:01,13,174.8356541,missing,missing,missing,missing,missing,19.796362,1.2761456,29.66908,0.16283397,0.030774385,0.24695969,0.0,0.0,0.4022421524663677,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T16:34:53,14,171.8528199,missing,missing,missing,missing,missing,20.37208,1.3601078,30.636467,0.18823025,0.034820992,0.27607152,0.0,0.0,0.4022421524663677,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
2026-06-09T16:38:01,15,173.8707927,0.175,25.575851,0.17690582959641254,25.635971,295-0-238-157-0-8229-0-0-0-1,20.58969,1.4064817,31.477192,0.6160263,0.0892139,0.4337145,0.0,0.0,0.4022421524663677,ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/full_epochs_beta1_lr0015_e20_b128_20260609\best_checkpoint.bin,
