mode,sample_idx,repeat_idx,burnin_sweeps,average_sweeps,beta,truth,pred,target_score,max_score,score_margin
free_repeat,1,1,25,10,,0,2,0.10000001,0.15,-0.049999997
free_repeat,1,2,25,10,,0,8,0.05000001,0.25,-0.19999999
free_repeat,1,3,25,10,,0,3,0.0,0.15,-0.15
free_repeat,1,4,25,10,,0,9,-0.10000001,0.20000002,-0.3
free_repeat,2,1,25,10,,1,4,-0.050000004,0.10000001,-0.15
free_repeat,2,2,25,10,,1,8,0.05,0.15,-0.10000001
free_repeat,2,3,25,10,,1,3,-0.35000002,0.35000002,-0.70000005
free_repeat,2,4,25,10,,1,3,-0.05,0.2,-0.25
free_repeat,3,1,25,10,,2,4,-0.1,0.25,-0.35
free_repeat,3,2,25,10,,2,3,-0.05,0.25,-0.3
free_repeat,3,3,25,10,,2,1,0.05,0.2,-0.15
free_repeat,3,4,25,10,,2,2,0.35000002,0.35000002,2.9802322e-8
free_repeat,4,1,25,10,,3,3,0.6,0.6,0.25
free_repeat,4,2,25,10,,3,8,0.05,0.25,-0.2
free_repeat,4,3,25,10,,3,7,-0.05,0.3,-0.35000002
free_repeat,4,4,25,10,,3,4,-0.10000001,0.10000001,-0.20000002
free_repeat,5,1,25,10,,4,1,0.10000001,0.35,-0.24999999
free_repeat,5,2,25,10,,4,7,0.05,0.65,-0.59999996
free_repeat,5,3,25,10,,4,0,0.10000001,0.25000003,-0.15000002
free_repeat,5,4,25,10,,4,5,0.1,0.3,-0.20000002
free_repeat,6,1,25,10,,5,9,0.0,0.15,-0.15
free_repeat,6,2,25,10,,5,7,-0.1,0.2,-0.3
free_repeat,6,3,25,10,,5,8,-0.05,0.4,-0.45000002
free_repeat,6,4,25,10,,5,4,-0.35,0.35000002,-0.70000005
free_repeat,7,1,25,10,,6,0,-0.15,0.45000002,-0.6
free_repeat,7,2,25,10,,6,4,0.05,0.45000002,-0.4
free_repeat,7,3,25,10,,6,9,-0.3,0.15,-0.45000002
free_repeat,7,4,25,10,,6,0,0.10000001,0.25,-0.14999999
free_repeat,8,1,25,10,,7,3,0.099999994,0.4,-0.3
free_repeat,8,2,25,10,,7,5,0.15000002,0.4,-0.24999999
free_repeat,8,3,25,10,,7,1,-0.05,0.3,-0.35000002
free_repeat,8,4,25,10,,7,6,-0.25,0.2,-0.45
free_repeat,9,1,25,10,,8,1,0.0,0.3,-0.3
free_repeat,9,2,25,10,,8,9,-0.10000001,0.4,-0.5
free_repeat,9,3,25,10,,8,3,0.0,0.05,-0.05
free_repeat,9,4,25,10,,8,8,0.2,0.2,0.1
free_repeat,10,1,25,10,,9,6,-0.2,0.05000001,-0.25
free_repeat,10,2,25,10,,9,8,0.05,0.25000003,-0.20000003
free_repeat,10,3,25,10,,9,3,0.15,0.3,-0.15
free_repeat,10,4,25,10,,9,2,-0.099999994,0.1,-0.19999999
